"Season","Rep","Model","n","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",43,"Agricultural",21,FALSE,TRUE,85.2860904487645,,0.595594923227616,0.391347418212024,0.799083925789513,1.26815400576703,FALSE
"Pre-growing season",43,"Site",21,FALSE,TRUE,83.2003966063411,,1.1111561764804,0.480506834155265,0.520541939763633,0.111034605617086,FALSE
"Pre-growing season",43,"Full",21,FALSE,TRUE,75.822305274946,,0.755295024166124,0.726564432097942,0.766874619173456,0.113225954387437,FALSE
"Pre-growing season",44,"Storm",21,FALSE,TRUE,83.0849444258156,,1.31463642380224,0.325157822801878,,0,TRUE
"Pre-growing season",44,"Agricultural",21,FALSE,TRUE,77.0581110243414,,0.306989112197281,0.370668944369993,0.939460368673554,1.89128187455276,FALSE
"Pre-growing season",44,"Site",21,FALSE,TRUE,86.9369599566122,,1.31001253236419,0.33005537493787,,0,TRUE
"Pre-growing season",44,"Full",21,FALSE,TRUE,77.670284446402,,0.345453160411974,0.503626507572231,0.916310506341734,1.1794412603967,FALSE
"Pre-growing season",45,"Storm",21,FALSE,FALSE,78.0800814479618,,1.09434952246415,0.35056068864141,0.392384263046767,0.087834948580735,FALSE
"Pre-growing season",45,"Agricultural",21,FALSE,FALSE,74.2139815491091,,0.922645307023406,0.598887780892647,,0,TRUE
"Pre-growing season",45,"Site",21,FALSE,FALSE,79.4428515306358,,1.14804796846092,0.370591309031043,0.371322438122432,0.00153458342176085,FALSE
"Pre-growing season",45,"Full",21,FALSE,FALSE,76.2018622990962,,0.922379112832108,0.599123837333601,,0,TRUE
"Pre-growing season",46,"Storm",21,FALSE,FALSE,100.99738424348,,1.94072595306977,0.16279499708743,0.194458356605214,0.153545511991265,FALSE
"Pre-growing season",46,"Agricultural",21,FALSE,FALSE,98.6081216031761,,1.64922001398232,0.453096888513879,,0,TRUE
"Pre-growing season",46,"Site",21,FALSE,FALSE,102.986861198848,,1.9320366416574,0.162198540856301,0.197598323858296,0.171500678556504,FALSE
"Pre-growing season",46,"Full",21,FALSE,FALSE,99.4187808986358,,1.60317304981944,0.483987051446607,,0,TRUE
"Pre-growing season",47,"Storm",21,FALSE,FALSE,65.660991404986,,0.868232380480201,0.496380009957895,,0,TRUE
"Pre-growing season",47,"Agricultural",21,FALSE,FALSE,71.4610614585198,,0.864109210153253,0.501270954629389,,0,TRUE
"Pre-growing season",47,"Site",21,FALSE,FALSE,65.8364558379718,,0.831322723659933,0.539254376891829,,0,TRUE
"Pre-growing season",47,"Full",21,FALSE,FALSE,71.7227275454706,,0.829074699274196,0.541799872841287,,0,TRUE
"Pre-growing season",48,"Storm",21,TRUE,TRUE,69.2909208592306,,0.946609156101611,0.578814286820598,,0,TRUE
"Pre-growing season",48,"Agricultural",21,TRUE,TRUE,74.3430318283652,,0.925484610527214,0.597776747879874,,0,TRUE
"Pre-growing season",48,"Site",21,TRUE,TRUE,73.0506144603683,,0.85570579007724,0.657143689447967,,0,TRUE
"Pre-growing season",48,"Full",21,TRUE,TRUE,77.6851225754822,,0.828332714132816,0.679074380464269,,0,TRUE
"Pre-growing season",49,"Storm",21,FALSE,TRUE,94.1856709896319,,1.71234393991439,0.237826154892105,,0,TRUE
"Pre-growing season",49,"Agricultural",21,FALSE,TRUE,99.9466517765347,,1.70262678025562,0.246776791462332,,0,TRUE
"Pre-growing season",49,"Site",21,FALSE,TRUE,96.8475951108411,,1.65865031355598,0.286553769684268,,0,TRUE
"Pre-growing season",49,"Full",21,FALSE,TRUE,102.379546966385,,1.64026892014251,0.302827335236013,,0,TRUE
"Pre-growing season",50,"Storm",21,FALSE,FALSE,94.3394185146185,,1.71862372798805,0.211470834823704,,0,TRUE
"Pre-growing season",50,"Agricultural",21,FALSE,FALSE,99.5995864388389,,1.68861516319777,0.239804672601428,,0,TRUE
"Pre-growing season",50,"Site",21,FALSE,FALSE,91.0589523205219,,1.51558033771138,0.39211166723813,,0,TRUE
"Pre-growing season",50,"Full",21,FALSE,FALSE,93.0890221088573,,1.37888648552996,0.49944117703978,,0,TRUE
"Pre-growing season",51,"Storm",21,FALSE,TRUE,94.0509385916849,,0.868199650416477,0.195305491656784,0.687877737129018,2.1403843609729,FALSE
